Reference,DOI,Group,Phylum,Order,Family,Species,Light,Water,Series,Day,Mean,SEM,N,Response,Method,Unit,Source
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,3,0.166666667,103.5179153,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,3,0.208333333,93.14332248,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,3,0.25,91.4495114,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.010416667,97.80130293,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.020833333,128.5016287,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.03125,129.3485342,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.041666667,132.52443,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.083333333,127.6547231,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.125,118.1270358,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.166666667,94.83713355,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.208333333,76.84039088,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Richardson 1957,10.1111/j.1438-8677.1957.tb00592.x,Terrestrial,Streptophyta,Sapindales,Sapindaceae,Acer saccharinum,Yes,No,4,0.25,45.08143322,NA,1,Photosynthesis,Gas exchange,mm3 CO2 cm–2 h–1,Figure 1
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,1,0.0625,6.06,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
Barua 1960,10.1017/s0021859600023327,Terrestrial,Streptophyta,Ericales,Theaceae,Camellia sinensis,Yes,Yes,1,0.291666667,8.22,NA,1,Photosynthesis,Gas exchange,mg CO2 dm–2 h–1,Table 2
