Review,DOI,Data,Reference,DOI_original,Order,Species,Kelp,Wrack,Dissolved,Smallscale,Prekilled,Buried,Anoxic,Lab,Darkness,k
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0295
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0321
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0076
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0082
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0038
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0076
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0035
Enríquez et al. 1993,10.1007/bf00566960,https://doi.org/10.1007/bf00566960,Twilley et al. 1986,10.2307/3566045,Ulvales,Ulva lactuca,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.023
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0295
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0321
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0076
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0076
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0038
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0082
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Gabrielson et al. 1983,10.1515/botm.1983.26.4.173,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.0035
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Peckol & Rivers 1996,10.1006/ecss.1996.0072,Cladophorales,Cladophora vagabunda,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0076
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Josselyn & Mathieson 1980,10.1007/bf03216236,Fucales,Fucus vesiculosus,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.031
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Sfriso & Marcomini 1997,10.1016/S0141-1136(97)00012-3,Ulvales,Ulva rigida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.023
Cebrián & Lartigue 2004,10.1890/03-4019,NA,Twilley et al. 1986,10.2307/3566045,Ulvales,Ulva lactuca,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.023
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0321
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Albright et al. 1980,10.1515/9783110837988-015,Laminariales,Macrocystis pyrifera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0295
Moten Foldager Pedersen unpublished,NA,NA,Alkemade & van Rijswijk 1993,10.1016/0077-7579(93)90018-N,Gigartinales,Iridaea sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0367
Moten Foldager Pedersen unpublished,NA,NA,Alkemade & van Rijswijk 1993,10.1016/0077-7579(93)90018-N,Gigartinales,Iridaea sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0337
Moten Foldager Pedersen unpublished,NA,NA,Alkemade & van Rijswijk 1993,10.1016/0077-7579(93)90018-N,Gigartinales,Iridaea sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0075
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Banta et al. 2004,10.1007/978-1-4020-3021-5_7,Fucales,Fucus vesiculosus,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.0407
Moten Foldager Pedersen unpublished,NA,NA,Banta et al. 2004,10.1007/978-1-4020-3021-5_7,Ceramiales,Ceramium virgatum,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.0856
Moten Foldager Pedersen unpublished,NA,NA,Banta et al. 2004,10.1007/978-1-4020-3021-5_7,Ulvales,Ulva lactuca,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.0375
Moten Foldager Pedersen unpublished,NA,NA,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.0167
Moten Foldager Pedersen unpublished,NA,NA,Birch et al. 1983,10.1515/botm.1983.26.4.165,Cladophorales,Cladophora aff. albida,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0068
Moten Foldager Pedersen unpublished,NA,NA,Bourguès et al. 1996,10.1007/bf00034552,Ulvales,Ulvaria obscura,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.1669
Moten Foldager Pedersen unpublished,NA,NA,Bourguès et al. 1996,10.1007/bf00034552,Ulvales,Ulvaria obscura,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0833
Moten Foldager Pedersen unpublished,NA,NA,Bourguès et al. 1996,10.1007/bf00034552,Ulvales,Ulvaria obscura,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.0549
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Brouwer 1996,10.1007/bf02390433,Desmarestiales,Desmarestia anceps,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0027
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Brouwer 1996,10.1007/bf02390433,Desmarestiales,Desmarestia anceps,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0309
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Buchsbaum et al. 1991,10.3354/meps072131,Fucales,Fucus vesiculosus,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0579
Moten Foldager Pedersen unpublished,NA,NA,Buchsbaum et al. 1991,10.3354/meps072131,Gracilariales,Gracilaria tikvahiae,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2539
Moten Foldager Pedersen unpublished,NA,NA,Buchsbaum et al. 1991,10.3354/meps072131,Ulvales,Ulva lactuca,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.1701
Moten Foldager Pedersen unpublished,NA,NA,Castaldelli et al. 2003,10.1016/S0304-3770(02)00167-5,Ulvales,Ulva rigida,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0847
Moten Foldager Pedersen unpublished,NA,NA,Castaldelli et al. 2003,10.1016/S0304-3770(02)00167-5,Ulvales,Ulva rigida,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.0899
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0398
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0613
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0556
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3382
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.3942
Moten Foldager Pedersen unpublished,NA,NA,Catenazzi & Donnelly 2007,10.3354/meps07106,Ulvales,Ulva sp.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0375
Moten Foldager Pedersen unpublished,NA,NA,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Gigartinales,Agardhiella subulata,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.347
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Fucales,Fucus vesiculosus,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.088
Moten Foldager Pedersen unpublished,NA,NA,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Gracilariales,Gracilaria vermiculophylla,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.507
Moten Foldager Pedersen unpublished,NA,NA,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Ulvales,Ulva compressa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.439
Moten Foldager Pedersen unpublished,NA,NA,Conover et al. 2016,10.1016/j.ecss.2016.05.018,Ulvales,Ulva rigida,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.439
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,de Bettignies et al. 2020,10.1111/jpy.13041,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0232
"Filbee-Dexter et al. 2024, Moten Foldager Pedersen unpublished",10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,de Bettignies et al. 2020,10.1111/jpy.13041,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0364
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0005
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0036
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0143
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria solidungula,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0208
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria solidungula,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0254
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria solidungula,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0317
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0011
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0093
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0093
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0005
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0016
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0008
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0004
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.002
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0013
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0015
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.001
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0025
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0081
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0055
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0052
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0011
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0057
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0037
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0055
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0033
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0025
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0359
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0437
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0287
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria digitata,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0169
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria digitata,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.013
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria digitata,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0206
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0017
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0022
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0032
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0946
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0944
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0942
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0406
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0566
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0855
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0644
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Saccharina latissima,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0411
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0093
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0046
Filbee-Dexter et al. 2024,10.1038/s41561-024-01449-7,https://doi.org/10.1038/s41561-024-01449-7,Filbee-Dexter et al. 2022,10.1371/journal.pbio.3001702,Laminariales,Laminaria hyperborea,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0068
