Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Aizaki and Takamura 1991,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,3.94,NA,NA,NA
Aizaki and Takamura 1991,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,5.63,NA,NA,NA
Aizaki and Takamura 1991,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,5.43,NA,NA,NA
Aizaki and Takamura 1991,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,4.28,NA,NA,NA
Albright et al. 1980,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0295,1,NA,NA,NA
Albright et al. 1980,aquatic,marine macroalgal beds,Macroalgal forest,Algae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0321,2.1,NA,NA,NA
Andersen 1978,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018,1.04,NA,NA,NA
Andersen 1978,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014,0.6,NA,NA,NA
Andersen and Kristensen 1988,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,137.0064,NA,NA,NA,NA,NA,NA,NA,19.1698,NA,NA,NA,NA,NA,NA,NA,NA
Anderson 1976,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,1500.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA
Anderson 1976,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,46.72,NA,30.8,30.66,NA,NA,16.06,NA,NA,NA,NA,NA,NA,NA,NA,1.73,NA
Anderson et al.1981,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1500.15,NA,481.264637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA
"Arndt et al. 1993, Behrendt 1990",aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,204.4,NA,NA,51.1,NA,NA,153.3,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA
Atkinson and Grigg 1984,aquatic,marine macroalgal beds,Macroalgal forest,Algae,628.7855,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.399845,NA,NA,NA,NA,NA,NA
Auclair et al. 1976,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,327.99995,NA,322.8,NA,NA,NA,NA,NA,239.4765,NA,56.0859,16.425,NA,NA,NA,NA,NA
Aziz and Nedwell 1986,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,332.515,NA,264.825581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA
Bach and Josselyn 1979,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1131.5,NA,NA,NA,NA,NA,NA,NA,912.5,NA,NA,NA,NA,3.16,0.281,NA,NA
Bach et al. 1986,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,836.7114,NA,NA,376.8114,NA,NA,459.9,NA,NA,NA,NA,32.485,NA,NA,NA,NA,NA
Bach et al. 1986,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,567.76845,NA,NA,253.86845,NA,NA,313.9,NA,NA,NA,NA,124.1,NA,NA,NA,NA,NA
Bach et al. 1986,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,547.84675,NA,NA,244.89675,NA,NA,302.95,NA,NA,NA,NA,40.15,NA,NA,NA,NA,NA
Bach et al. 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,682.7471,NA,8.42,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA
Bach et al. 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,649.71095,NA,3.44,NA,NA,NA,NA,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA
Bach et al. 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,536.44415,NA,16.57,NA,NA,NA,NA,NA,NA,NA,NA,9.125,NA,NA,NA,NA,NA
Bach et al. 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,364.9708,NA,17.81,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA
Bach et al. 1986,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,349.2393,NA,33.24,NA,NA,NA,NA,NA,NA,NA,NA,24.455,NA,NA,NA,NA,NA
