Reference,Ecosystem,Community,Biome,Plant,Net primary production (g C m^-2 y^-1),Leaf production (g C m^-2 y^-1),Plant biomass (g C m^-2),Detrital production (g C m^-2 y^-1),Detrital leaf production (g C m^-2 y^-1),Detrital biomass (g C m^-2),Herbivory (g C m^-2 y^-1),Herbivore biomass (g C m^-2),Decomposition (g C m^-2 y^-1),Total consumption (g C m^-2 y^-1),Accumulation (g C m^-2 y^-1),Export (g C m^-2 y^-1),k (d^-1),Detrital nitrogen (%),Detrital phosphorus (%),Plant nitrogen (%),Plant phosphorus (%)
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,335.8,NA,NA,317,NA,NA,18.8,NA,240.8,259.6,NA,NA,0.015,2.68,0.45,2.29,0.1997
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,149.11,NA,NA,136.44,NA,NA,12.67,NA,102.7,115.37,NA,NA,0.0135,3.56,0.5,2.38,0.1887
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,126.87,NA,NA,121.034,NA,NA,5.836,NA,91.9,97.736,NA,NA,NA,2.72,0.279,2.72,0.279
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,89.3,NA,NA,84.03,NA,NA,5.27,NA,NA,NA,NA,NA,NA,NA,NA,2.12,0.189
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1237.35,NA,231.914743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.723,0.1399
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1094.925905,NA,503.403775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,0.2289
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1084.919065,NA,521.907027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.807,0.1238
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1033.41063,NA,488.772098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.333,0.1807
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,988.05281,NA,680.369746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.864,0.1131
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,667.95,NA,99.190575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.041,0.1758
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,666.018785,NA,337.778084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.973,0.235
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,510.219265,NA,265.630006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.098,0.1071
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,507.38723,NA,286.237351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.316,0.1029
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,502.44586,NA,441.861565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.593,0.1654
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,408.8,NA,227.111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.917,0.3259
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,358.795,NA,59.73309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.264,0.2455
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,337.26,NA,29.148265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.826,0.1753
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,331.42,NA,53.222512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1425,0.15775
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,289.08,NA,49.1436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1815,0.17775
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,285.43,NA,36.208834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.781,0.1471
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,277.76062,NA,146.980037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.644,0.1192
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,219.07373,NA,148.956696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.646,0.1122
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,216.08,NA,34.851613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,0.26
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,185.0915,NA,113.142555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.416,0.1154
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,175.233215,NA,21.383064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,0.2612
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,160.97668,NA,22.267276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.869,0.3591
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,160.965,NA,17.123936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.549,0.1564
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,113.419005,NA,14.589561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.182,0.285
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,102.93,NA,9.657534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.453,0.2882
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,101.47,NA,33.052117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,0.242
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,89.06,NA,17.304965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.189
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,85.797265,NA,14.286963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.972,0.1416
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,74.622425,NA,11.407059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83,0.2737
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,44.53,NA,19.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.611,0.3136
Cebrian and Duarte 1998,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,11.66905,NA,7.980296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.259,0.1104
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,1075.268133,NA,NA,1065.59072,NA,NA,9.6774132,NA,NA,NA,NA,NA,NA,NA,NA,1.97,0.235
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,961.8975716,NA,NA,944.583415,NA,NA,17.31415629,NA,NA,NA,NA,NA,NA,NA,NA,1.86,0.113
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,951.903414,NA,NA,932.865346,NA,NA,19.03806828,NA,NA,NA,NA,NA,NA,NA,NA,1.81,0.124
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,919.9008,NA,NA,917.141098,NA,NA,2.7597024,NA,NA,NA,NA,NA,NA,NA,NA,2.02,0.229
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,677.4919008,NA,NA,667.329522,NA,NA,10.16237851,NA,NA,NA,NA,NA,NA,NA,NA,2.15,0.156
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,676.3322816,NA,NA,665.510965,NA,NA,10.82131651,NA,NA,NA,NA,NA,NA,NA,NA,1.33,0.181
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,458.8172563,NA,NA,451.017363,NA,NA,7.799893357,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.107
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,402.961014,NA,NA,393.692911,NA,NA,9.268103323,NA,NA,NA,NA,NA,NA,NA,NA,2.59,0.165
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,375.776658,NA,NA,370.891561,NA,NA,4.885096554,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0.103
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,238.953863,NA,NA,235.369555,NA,NA,3.584307945,NA,NA,NA,NA,NA,NA,NA,NA,2.64,0.119
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,188.2508727,NA,NA,179.967834,NA,NA,8.2830384,NA,NA,NA,NA,NA,NA,NA,NA,1.65,0.112
Cebrian et al. 1996,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,167.8219703,NA,NA,166.311573,NA,NA,1.510397733,NA,NA,NA,NA,NA,NA,NA,NA,1.42,0.115
Cebrian et al. 1997,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,570.2,NA,NA,560.2,NA,NA,10,NA,507.72,517.72,52.44,NA,0.01448,1.917,0.3259,1.917,0.3259
Cebrian et al. 1997,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,226.72,NA,NA,202.64,NA,NA,24.08,NA,206.36,230.44,2.92,NA,0.01352,1.549,0.1564,1.549,0.1564
Cebrian et al. 2000,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,288.35,NA,NA,NA,NA,NA,NA,NA,113.15,NA,47.45,83.95,NA,2.28,0.0895,2.28,0.0895
Chapin et al. 1980,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,91,NA,NA,NA,NA,9,NA,0.09,NA,NA,NA,NA,NA,NA,NA,1.1622,0.09617
Chapin et al. 1980,terrestrial,tundra shrublands and grasslands,Tundra,Terrestrial plants,47,NA,63,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,1.447,0.1072
Chapman and Craigie 1978,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1500.15,NA,316.153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,NA
Chavez et al. 1991,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,426.7799,NA,NA,178.5799,NA,NA,248.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chew and  Chew 1970,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,52.56,NA,184,51.1,NA,NA,1.04025,0.063641054,NA,NA,NA,NA,NA,NA,NA,0.6396,NA
Christensen 1978,terrestrial,mangroves,Mangrove forest,Marine angiosperms,1080.4,NA,NA,1064.34,NA,NA,16.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cloern et al 1987,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,1976.11,NA,3.625,203.67,NA,NA,1758.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clymo 1984,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,226.008,NA,74.8,NA,NA,NA,NA,NA,NA,NA,22.5935,NA,NA,NA,NA,NA,NA
Colijn and Dijkema 1981,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,316.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.728,NA,NA,NA,NA,NA
"Collins and Steinauer 1998, unpublished data",terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,182.916,NA,91.458,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coppock et al. 1983,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,76.65,NA,32,36.135,NA,40.16,36.5,NA,21.39991,57.89991,NA,NA,0.002465,2.23,NA,2.23,NA
Coveney et al. 1977,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,331.785,NA,5.08,247.105,NA,1.43,84.68,2.16,NA,NA,NA,NA,NA,NA,NA,9.7,1.5
Craft et al. 1988,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.0538
de la Cruz 1973,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,419.9982,NA,400,NA,NA,NA,NA,NA,125.8155,NA,116.0773,NA,NA,NA,NA,NA,NA
de la Cruz 1973,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,419.9982,NA,400,NA,NA,NA,NA,NA,96.798,NA,145.197,NA,NA,NA,NA,NA,NA
Cushing 1976,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,275.575,NA,1.811,158.41,NA,NA,124.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,2298.923031,NA,NA,NA,NA,NA,NA,1.458594031,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,1813.33,NA,25.51,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,724.3277317,NA,3.92,NA,NA,NA,NA,10.30658424,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,448.4646609,NA,NA,NA,NA,NA,NA,0.56340368,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,441.996598,NA,NA,NA,NA,NA,NA,1.03455624,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,438.7976336,NA,NA,NA,NA,NA,NA,2.346884996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,355.4507481,NA,NA,NA,NA,NA,NA,1.149888535,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,296.42388,NA,NA,NA,NA,NA,NA,1.180677137,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,277.6651276,NA,NA,NA,NA,NA,NA,0.773614492,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,260.0934954,NA,NA,NA,NA,NA,NA,0.660194859,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,258.2110605,NA,NA,NA,NA,NA,NA,0.315036347,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,236.6568305,NA,NA,NA,NA,NA,NA,0.626211903,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,171.9152696,NA,NA,NA,NA,NA,NA,0.794328247,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,146.525144,NA,NA,NA,NA,NA,NA,0.456054138,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,93.39505225,NA,NA,NA,NA,NA,NA,1.062256787,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,75.10768486,NA,NA,NA,NA,NA,NA,0.112413814,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,65.90231627,NA,NA,NA,NA,NA,NA,0.60988213,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,communities of freshwater phytoplankton,Phytoplankton,Algae,59.52995878,NA,NA,NA,NA,NA,NA,0.121687484,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,139.2610317,NA,NA,NA,NA,NA,NA,0.17156403,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,106.4406617,NA,NA,NA,NA,NA,NA,0.298820126,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,94.07592976,NA,NA,NA,NA,NA,NA,0.34102553,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,80.18187793,NA,NA,NA,NA,NA,NA,0.142593054,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,55.35910801,NA,NA,NA,NA,NA,NA,0.021274965,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,55.35910801,NA,NA,NA,NA,NA,NA,0.090994764,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyr and Pace 1993,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,39.63466511,NA,NA,NA,NA,NA,NA,0.079733229,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dame et al. 1986,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,54.9982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80018,NA,NA,NA,NA,NA
Damman 1978,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,41.5735,NA,52.009132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.084
Damman 1978,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,37.23,NA,38.059701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.035
Darley et al. 1981,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,72.5328,NA,1.16,43.8,NA,NA,29.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.5,0.014,NA,NA
Davis 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.90E-04,0.35,0.012,NA,NA
Davis 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0013,0.4,0.02,NA,NA
Davis 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-04,0.5,0.022,NA,NA
Davis 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-04,0.3,0.006,NA,NA
Davis 1991,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021,0.5,0.028,NA,NA
Davis and Lee 1983,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,515.7888,NA,NA,165.3888,NA,NA,350.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis and McIntire 1983,aquatic,marine benthic microalgal beds,Microphytobenthos,Algae,91.6004,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Dawes et al. 1991,aquatic,marine macroalgal beds,Macroalgal forest,Algae,2333.8465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.6,NA,NA,NA,NA,NA
Dawes et al. 1991,aquatic,marine macroalgal beds,Macroalgal forest,Algae,827.1265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704.45,NA,NA,NA,NA,NA
Day 1982,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,252.518304,NA,446.683592,NA,NA,NA,NA,NA,59.57,NA,NA,NA,9.55E-04,NA,NA,NA,NA
Day 1982,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,239.493022,NA,238.231947,NA,NA,NA,NA,NA,94.2,NA,NA,NA,0.001622,NA,NA,NA,NA
Day 1982,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,233.503215,NA,232.27368,NA,NA,NA,NA,NA,86.1,NA,NA,NA,0.001413,NA,NA,NA,NA
Day 1982,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,209.552509,NA,208.449088,NA,NA,NA,NA,NA,52.549,NA,NA,NA,9.33E-04,NA,NA,NA,NA
Day and Detling 1990,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,56.2465,NA,NA,48.92825,NA,NA,7.31825,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA
Day et al. 1973,terrestrial,freshwater and marine marshes,Saltmarsh,Marine angiosperms,1147.48992,NA,NA,1100.03992,NA,NA,47.45,NA,328.5,375.95,153.3,226.3,NA,NA,NA,NA,NA
Day et al. 1989,terrestrial,mangroves,Mangrove forest,Marine angiosperms,2098.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Day et al. 1989,terrestrial,mangroves,Mangrove forest,Marine angiosperms,1573.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Angelis et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,706.59985,NA,NA,691.59981,NA,NA,15.00004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Angelis et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,599.6001,NA,NA,597.4001,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Angelis et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,516.0005,NA,NA,500.00036,NA,NA,16.00014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Angelis et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,489.757,NA,NA,482.9169,NA,NA,6.8401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Angelis et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,449.1325,NA,NA,441.612405,NA,NA,7.520095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Angelis et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,403.1206,NA,NA,396.000545,NA,NA,7.120055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Angelis et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,402.4417,NA,NA,366.04171,NA,NA,36.39999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De Angelis et al. 1981,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,382.812,NA,NA,374.41189,NA,NA,8.40011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew and Hastings 1992,aquatic,marine macroalgal beds,Macroalgal forest,Algae,3.066,NA,NA,2.7375,NA,NA,0.3285,NA,NA,NA,NA,NA,NA,NA,NA,2,0.25
Dunton and Schell 1986,aquatic,marine macroalgal beds,Macroalgal forest,Algae,7.1905,NA,7.519084,6.47145,NA,NA,0.71905,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.25
Durbin et al. 1975,aquatic,communities of marine phytoplankton,Phytoplankton,Algae,507.35,NA,2.400691,169.96225,NA,NA,337.38775,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA
Edroma 1984,terrestrial,temperate and tropical grasslands,Grassland,Terrestrial plants,190.00075,NA,NA,143.9998,NA,NA,46.00095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egan and Yarish 1990,aquatic,marine macroalgal beds,Macroalgal forest,Algae,1496.5,NA,418.367347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06,NA
Emmerson and McGwynne 1992,terrestrial,mangroves,Mangrove forest,Marine angiosperms,525.6,NA,NA,496.4,NA,NA,29.2,NA,354.05,383.25,128.845,13.14,NA,NA,NA,NA,NA
Erftemeier et al. 1993,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,476.66445,NA,47.8,NA,NA,NA,NA,NA,292.146,NA,NA,NA,NA,NA,NA,NA,NA
Erftemeier et al. 1993,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,335.08095,NA,53.8,NA,NA,NA,NA,NA,208.5318,NA,NA,NA,NA,NA,NA,NA,NA
Erftemeier et al. 1993,aquatic,seagrass meadows,Seagrass meadow,Marine angiosperms,220.241,NA,22.83,NA,NA,NA,NA,NA,141.036,NA,NA,NA,NA,NA,NA,NA,NA
Fahey et al. 1991,terrestrial,temperate and tropical shrublands and forests,Woodland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0355,4.96,0.55,NA,NA
Findlay et al. 1990,terrestrial,freshwater and marine marshes,Wetland,Terrestrial plants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.48,NA,NA,NA
Flint and Goldman 1975,aquatic,freshwater benthic microalgal beds,Microphytobenthos,Algae,25.4405,NA,1,20.951,NA,NA,4.48585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flint and Goldman 1975,aquatic,freshwater benthic microalgal beds,Microphytobenthos,Algae,5.256,NA,0.239,3.504,NA,NA,1.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flint and Goldman 1975,aquatic,meadows of freshwater submerged macrophytes,Wetland,Terrestrial plants,201.115,NA,51.43,172.9735,NA,NA,28.0685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flores-Verdugo et al. 1987,terrestrial,mangroves,Mangrove forest,Marine angiosperms,463.55,NA,NA,NA,NA,NA,NA,NA,43.8,NA,NA,419.75,NA,NA,NA,NA,NA
