"Parameter","mean","sd","P_more","P_less","n","rounded","P"
"alpha",-18.349896918,1.61508925917943,0,1,80000,"18 ± 1.6",1
"tau",-0.705222710487302,0.595425873853253,0.0435375,0.9564625,80000,"0.71 ± 0.6",0.96
"k",-0.16624378197875,0.0604348503554073,0,1,80000,"0.17 ± 0.06",1
"mu",14.384639696875,2.90844295642798,1,0,80000,"14 ± 2.9",1
